,positive,negative
Facebook Lite.csv,6902,3092
Snapchat.csv,6578,3421
Viber.csv,6358,3641
Dropbox.csv,5290,4707
Flipboard.csv,4803,5193
Subway Surfers.csv,7868,2132
Microsoft Word.csv,8035,1961
Microsoft PowerPoint.csv,7671,2327
WhatsApp.csv,6300,3698
Twitter.csv,5184,4812
TikTok.csv,6178,3819
Instagram.csv,6285,3715
Candy Crush Saga.csv,8350,1650
Spotify.csv,5812,4188
LINE.csv,3653,6343
Netflix.csv,4268,5732
SHAREit.csv,7504,2495
Facebook Messenger.csv,5701,4295
Skype.csv,6059,3940
Facebook.csv,6906,3093
